,Farrah,Amber,Catelynn,Maci
0,12.5,98.0,6.0,11.5
1,187.0,238.5,17.0,54.0
2,63.5,95.5,22.0,35.5
3,186.0,84.5,28.5,58.5
4,82.5,43.5,77.0,23.0
5,191.5,39.5,17.5,0.0
6,28.0,0.0,0.0,25.0
7,50.5,100.0,24.0,0.0
8,86.5,55.0,0.0,77.5
9,246.5,64.5,36.0,32.5
10,339.0,259.5,51.0,0.0
11,157.5,123.5,29.5,0.0
12,143.5,108.0,145.5,0.0
13,88.0,0.5,33.0,32.0
14,650.5,220.0,0.5,42.0
15,76.5,80.0,0.0,84.5
16,216.5,68.0,0.0,93.5
17,130.0,139.0,73.5,34.0
18,122.5,154.5,58.5,125.5
19,228.5,688.0,182.5,72.0
20,177.5,425.0,138.0,0.0
21,223.0,603.5,107.0,64.5
22,509.5,612.5,151.5,49.0
23,458.5,466.5,104.0,42.0
24,159.5,166.5,3.5,13.0
25,331.0,107.0,72.5,48.0
26,575.0,278.5,164.5,227.5
27,646.5,190.0,128.0,41.5
28,229.5,4.0,125.0,200.0
29,293.5,524.0,11.0,200.5
30,297.5,413.0,127.5,78.0
31,128.0,373.0,114.0,377.0
32,114.5,479.0,156.5,403.0
33,40.0,38.0,9.5,13.0
34,21.0,41.5,10.5,10.5
35,27.5,32.5,2.0,10.0
36,2.0,4.0,1.0,0.5
37,3.5,8.5,0.0,1.5
38,7.0,3.5,5.0,0.0
39,7.5,0.5,1.0,1.0
40,10.0,2.0,1.0,1.0
41,3.0,2.0,1.0,0.5
42,20.0,2.5,1.0,1.5
